purchase_date;purchase_cost;annual_depreciation_rate;phase_number;description
13/10/2006;1786,82;20,00;0000000463;MAMIYA RZ +dos120 + obj 110mm+ vise
13/10/2006;777,41;20,00;0000000464;Objectif MANIYA 180mm
13/07/2006;1284,5;33,33;0000000465;PC Precision 380 N° 3DKHC2J
20/11/2006;607;33,33;0000000466;PC Portable Packard Bell R2005
03/03/2007;582,28;33,33;0000000470;Imprimante HP phtosmart B9180
09/03/2007;637,91;33,33;0000000471;Matériel Salle Physique
13/03/2007;881,19;33,33;0000000472;Matériel Salle Physique
14/05/2007;3600;33,33;0000000473;Imprimante Epson 7800
20/07/2007;1016,6;33,33;0000000474;PC Précision390N N° B0TC13J
20/07/2007;1016,6;33,33;0000000475;PC Précision 390N N°C0TC13J
20/07/2007;1016,6;33,33;0000000476;PC Précision 390N N° D0TC13J
20/07/2007;1016,6;33,33;0000000477;PC Précision 390N N° F0TC13J
20/07/2007;1016,6;33,33;0000000478;PC Précision 390N N° G0TC13J
20/07/2007;167,44;33,33;0000000479;POWER Connect 2716 N°HBD7SB1
30/07/2007;245,18;33,33;0000000480;Ecran LCD195VXM N°73D00287NB
30/07/2007;245,18;33,33;0000000481;Ecran LCD195VXM N°73D00086NB
30/07/2007;245,18;33,33;0000000482;Ecran LCD 195VXM N° 73D00340NB
31/08/2007;284,65;33,33;0000000483;Ecran LCD 195VXM N° 76d03670nb
20/09/2007;1040,52;33,33;0000000484;PC Précision 390N N°GDPV43J
20/09/2007;1040,52;33,33;0000000485;PC Précision 390N N° HDPV43J
20/09/2007;1040,52;33,33;0000000486;PC Précision 390N N° JDPV43J
20/09/2007;3401,62;25,00;0000000487;MMF Equipement studio
27/09/2007;75,59;25,00;0000000488;Reflecteur Argent blanc 77cm
12/10/2007;230,11;20,00;0000000489;Tables Fac T6 T5015
01/07/2007;135,27;25,00;0000000490;Chaises Etude 4 pieds T6 T5015
10/10/2007;1166,38;25,00;0000000491;Chaise LUCY coque grise lot de 30
10/10/2007;52,53;25,00;0000000492;Table SIRIUS T6 T1023
10/10/2007;24,98;25,00;0000000493;Chaise 4pieds 850 T6 T1023
10/10/2007;74,92;25,00;0000000494;Chaise 4 pieds 850 T6 T5015
25/10/2007;1334,74;33,33;0000000495;Imprimante Epson Stylus pro 3800
07/11/2007;24,97;25,00;0000000496;Chaise 4 pieds  850 T6
12/11/2007;517,39;25,00;0000000497;Table Mimizan H71 T5 T5015
04/12/2007;243,8;33,33;0000000498;Disque Dur To USB2.0 Réf 69287
19/12/2007;937,52;33,33;0000000499;PC Précision 390N N° 1LK6C3J
19/12/2007;937,52;33,33;0000000500;PC Précision 390N N° 2LK6C3J
19/12/2007;61;33,33;0000000501;Disque Dur  DELL 80GO
19/07/2007;167,44;20,00;0000000503;Power Connect2716 N°69D7SB1
19/07/2007;167,44;20,00;0000000504;Power Connect 2716 N° 2CD7SB1
19/07/2007;167,44;20,00;0000000505;Power Connect 2716 N° 79D7SB1
19/07/2007;1016,6;20,00;0000000506;PC Précision 390N N°41B913J
19/07/2007;1016,6;20,00;0000000507;PC Précision 390N N° 61B913J
19/07/2007;1016,8;20,00;0000000508;PC Précision 390N N° 71B913J
19/07/2007;1016,6;20,00;0000000509;PC Précision 390N N°81B913J
19/07/2007;1016,6;20,00;0000000510;PC Précision 390N N° 91B913J
19/07/2007;1016,6;20,00;0000000511;PC Précision 390N N° B1B913J
01/07/2007;1016,6;20,00;0000000512;PC Précision 390N N° C1B913J
19/07/2007;1016,6;20,00;0000000513;PC Précision 390N N°D1B913J
30/07/2007;1650,48;20,00;0000000515;LCD Spectrawiew 2190 N° 6Y100162JB
31/08/2007;1650,48;20,00;0000000516;LCD NEC Spect 2190 N°78105282JB
28/08/2007;70,56;25,00;0000000519;Fauteuil Cuir RIMINI
28/08/2007;190,16;25,00;0000000520;Fauteu Croute de Cuir OMAR
05/09/2007;179,4;25,00;0000000521;Dactylo noir CD FERIA 2
11/10/2007;705,65;20,00;0000000523;Ensemble Bureau ATLANTA
01/07/2007;510,15;33,33;0000000525;MISTER GOOD DEAL ?
25/12/2007;723,25;33,33;0000000526;ACER Aspire N°130902860001R155
20/09/2007;1040,52;33,33;0000000527;PC Précision 390N N° 1FPV43J
30/07/2007;245,18;20,00;0000000528;Ecran LCD195VXM N° 72D08357NB
30/07/2007;245,18;20,00;0000000529;Ecran LCD 195VXM N° 72D08456NB
30/07/2007;245,18;20,00;0000000530;Ecran LCD195VXM N° 72D08457NB
30/07/2007;245,18;20,00;0000000531;Ecran LCD 195VXM N° 72D078459NB
30/07/2007;245,18;20,00;0000000532;Ecran LCD 195VXM N° 72D08472NB
30/07/2007;245,18;20,00;0000000533;Ecran LCDVXM N° 73D00086NB
30/07/2007;245,18;20,00;0000000534;Ecran LCD 195VXM N°73D00114NB
30/07/2007;245,18;20,00;0000000535;Ecran LCD 195VXM N°73D00185NB
30/07/2007;245,18;20,00;0000000536;Ecran LCD 195VXM N° 73D00198
30/07/2007;245,18;20,00;0000000537;Ecran LCD 195VXM N° 73D00244NB
30/07/2007;245,18;20,00;0000000538;Ecran LCD 195VXM N° 73D00340NB
30/07/2007;245,18;20,00;0000000539;Ecran LCD 195VXM N° 73D00421NB
30/07/2007;245,18;20,00;0000000540;Ecran LCD 195VXM N° 73D00649NB
30/07/2007;245,18;20,00;0000000541;Ecran LCD 195VXM N° 74D01374NB
30/07/2007;245,18;20,00;0000000542;Ecran LCD 195VXM N° 74D01375NB
30/07/2007;245,18;20,00;0000000543;Ecran LCD 195VXM N° 74D01376NB
30/07/2007;245,18;20,00;0000000544;Ecran LCD 195VXM N° 74D01377NB
30/07/2007;245,18;20,00;0000000545;Ecran LCD 195VXM N° 74D01378NB
30/07/2007;245,18;20,00;0000000546;Ecran LCD 195VXM N° 74D01380NB
30/07/2007;245,18;20,00;0000000547;Ecran LCD 195VXM N° 74D01381NB
30/07/2007;245,18;20,00;0000000548;Ecran LCD 195VXM N° 74D01385NB
30/07/2007;245,18;20,00;0000000549;Ecran LCD 195VXM N° 74D01396NB
30/07/2007;245,18;20,00;0000000550;Ecran 195LCDVXM N° 74D01397NB
30/07/2007;245,18;20,00;0000000551;Ecran LCD 195VXM N° 74D01398NB
30/07/2007;245,18;20,00;0000000552;Ecran LCD 195VXM N° 74D01399NB
30/07/2007;245,18;20,00;0000000553;Ecran LCD 195VXM N° 74D01400NB
30/07/2007;245,18;20,00;0000000554;Ecran LCD195VXM N° 74D01401NB
30/07/2007;245,18;20,00;0000000555;Ecran LCD 195VXM N° 74D01402NB
30/07/2007;245,18;20,00;0000000556;Ecran LCD 195VXM N° 74D01403NB
30/07/2007;245,18;20,00;0000000557;Ecran LCD 195VXM N° 74D01404NB
30/07/2007;245,18;33,33;0000000558;Ecran LCD 195VXM N° 74D01405NB
30/07/2007;245,18;33,33;0000000559;Ecran LCD 195VXM N° 76d03670nb
18/06/2008;321,72;20,00;0000000560;Power connect 2724-24 PortN°CW3M7F1
18/06/2008;2954,12;20,00;0000000561;Serveur pe2950 III N° FRSCR3J
18/06/2008;440,13;33,33;0000000562;ACC 42UR RACK 4210 N° 230R7G1
18/06/2008;263,12;33,33;0000000563;P73-04145 EDU WIN SVR ST2008
18/06/2008;418,6;33,33;0000000564;R18-02619 EDU WINDOWS SERVER CAL
18/06/2008;29,9;33,33;0000000565;P73-03832 WIN SVR STD 2008
18/06/2008;1408,88;20,00;0000000566;PC T3400 525W Intel N°FTPDR3J
18/06/2008;1408,88;20,00;0000000567;PC T3400 525W Intel N° GTPDR3J
18/06/2008;1408,89;20,00;0000000568;PC T3400 525W Intel N° HTPDR3J
18/06/2008;1408,89;20,00;0000000569;PC T3400 525W Intel N° JTPDR3J
18/06/2008;1408,89;20,00;0000000570;PC T3400 525W Intel N° 1VPDR3J
18/06/2008;1408,89;20,00;0000000571;PC T3400 525W Intel N° 2VPDR3J
18/06/2008;1408,89;20,00;0000000572;PC T3400 525W Intel N° 4VPDR3J
18/06/2008;1408,89;20,00;0000000573;PC T3400 525W Intel N° 5VPDR3J
18/06/2008;1408,89;20,00;0000000574;PC T3400 525W Intel N° VPDR3J
18/06/2008;1408,89;20,00;0000000575;PC T3400 525W Intel N° 7VPDR3J
18/06/2008;1408,89;20,00;0000000576;PC T3400 525W Intel N° 8VPDR3J
30/09/2007;1948,28;33,33;0000000577;Panneau d'exposition Salon
07/01/2008;175,43;33,33;0000000578;Disque dur Lomega Minimax externe N
30/06/2008;107,64;33,33;0000000580;Acc Belkin Fire Wire 3 port N°
01/09/2008;1674,4;50,00;0000000582;MAT MAMIYA 645 PRO 120MM
01/09/2008;239,2;50,00;0000000583;BOITIER MAMIYA 645 OBJ 55MM
01/09/2008;299;50,00;0000000584;MAT MAYIA 645 OBJ 80MM
29/08/2008;357,6;100,00;0000000585;Licence VISIONSOFT
02/09/2008;4094,45;33,33;0000000586;PC DELL T3400 525W
15/09/2008;548,96;25,00;0000000587;Chaises Etude T4
16/09/2008;722,62;25,00;0000000588;WACOM INTUOS 3 Format a4
19/09/2008;404,24;25,00;0000000589;Chaises 970 TT6
19/09/2008;62,2;25,00;0000000590;Chaises 970 TT6 T1023
19/09/2008;365,97;25,00;0000000591;Chaises étude 4 T5015
19/09/2008;63,39;25,00;0000000592;Table Siruis  130X50 T1023
19/09/2008;497,53;25,00;0000000593;Table Fac  180 X 40 T6
19/09/2008;190,16;25,00;0000000594;Table Siruis 4p 130 x 50 T6
19/09/2008;776,22;33,33;0000000595;VIDEO PROJECTEUR XGA EPSON EMP83H
